school_id,school_name,resolved_latitude,resolved_longitude,campus_resolution_method,campus_review_required,campus_resolution_confidence,imagery_item,imagery_date,imagery_age_years,imagery_is_stale,stac_bbox_coverage_fraction,vlm_campus_coverage_visible,campus_boundary_observability,campus_boundary_ambiguity,black_pixel_fraction,tree_occlusion,overall_image_quality,model,prompt_version,prompt_tokens,output_tokens,thinking_tokens,billable_output_tokens,total_tokens,estimated_api_cost_usd,imagery_seconds,vlm_seconds,total_seconds,review_required
010282001124,Wedowee Middle School,33.313157,-85.495877,ccd_reviewed,False,0.9,al_m_3308545_nw_16_060_20231007_20231127,2023-10-07,2.91,False,1.0,1.0,medium,True,0.10819949281487742,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8124,368,,368,8492,0.002583,0.029508981000617496,6.305758332999176,6.661659862998931,True
040963000996,Kofa High School,32.6743,-114.636,ccd_reviewed,False,0.9,az_m_3211419_se_11_030_20230617_20240228,2023-06-17,3.21,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8127,491,,491,8618,0.00276825,0.004958584999258164,9.600157292999938,9.965759807000723,False
060483000471,Beverly Hills High,34.061692,-118.412181,ccd_reviewed,False,0.9,ca_m_3411861_se_11_060_20220511,2022-05-11,4.31,False,1.0,1.0,high,False,0.04314720812182741,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8123,419,,419,8542,0.00265925,0.02557641900057206,7.907677383000191,8.206396562000009,True
061734009378,Cerra Vista Elementary,36.829411,-121.372331,ccd_reviewed,False,0.9,ca_m_3612114_nw_10_060_20220514,2022-05-14,4.31,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8122,581,,581,8703,0.002902,0.013053117998424568,21.972459843998877,22.129323356000896,False
060001909278,Wells Middle,37.711839,-121.918954,ccd_reviewed,False,0.9,ca_m_3712117_ne_10_060_20220519,2022-05-19,4.29,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8120,432,,432,8552,0.002678,0.00616551100029028,15.768815407000147,15.91667919199972,False
130333001308,Lincoln County Elementary School,33.796652,-82.49178,ccd_reviewed,False,0.9,ga_m_3308213_sw_17_060_20231003_20240103,2023-10-03,2.92,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8123,393,,393,8516,0.00262025,0.011065725999287679,6.997350697000002,7.159030664999591,True
160264000465,CLAUDE A WILCOX ELEMENTARY SCHOOL,42.898474,-112.47438,ccd_reviewed,False,0.9,id_m_4211205_sw_12_060_20230714_20231018,2023-07-14,3.14,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8129,378,,378,8507,0.00259925,0.007698442999753752,16.259674887000074,16.479858717000752,True
160000100084,PRIEST RIVER LAMANNA HIGH,48.189478,-116.917391,ccd_reviewed,False,0.9,id_m_4811649_ne_11_060_20231030_20240103,2023-10-30,2.84,False,1.0,1.0,medium,True,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8128,422,,422,8550,0.002665,0.0050964900001417845,38.703017649000685,38.84222212399982,True
180283000341,Zionsville Community High School,39.9611,-86.274,ccd_reviewed,False,0.9,in_m_3908606_ne_16_060_20220621,2022-06-21,4.2,False,1.0,1.0,medium,True,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8129,431,,431,8560,0.00267875,0.00825088200144819,8.55403903700062,8.782332033000785,True
240039000683,Bel Air High,39.531077,-76.348008,ccd_reviewed,False,0.9,md_m_3907630_sw_18_030_20230527_20231018,2023-05-27,3.27,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8125,578,,578,8703,0.00289825,0.004946078999637393,25.998527216001094,26.533489748000648,True
